排名,书名,作者,出版社,价格,评论数,页码
1,跟着诗词去旅行 少年游学地理百科,日知图书,未知,¥9.90,319405,1
2,漫画讲透黄帝内经 十二时辰养生智慧 二十四节气养生智慧 中医八大...,张嘉铭,王婧,¥12.60,203415,1
3,敖丙传（壹）哪吒魔童闹海和魔童降世电影中敖丙与哪吒相遇前的故...,二斯特洛夫斯基,华文天下,¥28.00,221041,1
4,青铜葵花（曹文轩正版小说无删减版，7-8-9-10-12岁小学课外阅读推...,曹文轩,未知,¥9.90,563913,1
5,青春期男孩教育书籍青春期男孩枕边书10-18岁青春期男孩成长手册男...,青蓝图书,未知,¥49.80,14438,1
6,被讨厌的勇气,岸��一郎,古�R史健,¥43.40,1628701,1
7,俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社,冯骥才,未知,¥26.90,517178,1
8,小刺猬阿奈家的24小时,曾荷丽,未知,¥32.00,16093,1
9,全2册 意林成长卷：奔走在自己的热爱里+何以为青春,意林编辑部,未知,¥49.80,4798,1
10,如果历史是一群喵15・大清风云篇,肥志,漫友文化出品,¥32.00,132013,1
11,悉达多（心动的信号7彭高翁青雅同款，翻译家姜乙译本）【果麦经典...,赫尔曼・黑塞,果麦文化,¥29.10,598889,1
12,二千年间 一本书读懂秦朝以来中国两千年历史,胡绳,凤凰含章出品,¥18.20,19983,1
13,见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋...,纵虎嗅花,未知,¥42.80,102950,1
14,毛泽东选集（全四册，32开）,毛泽东,未知,¥56.70,264510,1
15,兜底（当当专享印签版+能量书签。修炼为自己撑腰的能力！写给所有...,晴山,时代华语,¥29.90,22345,1
16,理解人性： 阿德勒心理学经典 真正厉害的人都是布局高手,阿尔弗雷德・阿德勒◎,博雅◎,¥36.00,107,1
17,青春期女孩教育书籍青春期女孩枕边书10-18岁妈妈送给青春期女儿私...,青蓝图书,未知,¥18.80,14212,1
18,蛤蟆先生去看心理医生（热销500万册！英国经典心理咨询入门书，知...,罗伯特・戴博德,果麦文化,¥30.00,1954225,1
19,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直...,安德烈・纪德,果麦文化,¥41.00,452265,1
20,愿你可以自在张扬（野生艺术家刘开心，献给所有不愿放弃的人，一...,刘开心,磨铁文化,¥36.90,173352,1
21,【赠作者手写信+精美信封】她来劈开这山 病鹤斋“女性童话”重建...,病鹤斋,后浪,¥56.00,3358,2
22,十日终焉2迷城,杀虫队队员,风炫文化,¥29.80,33123,2
23,十日终焉1囚笼,杀虫队队员,风炫文化,¥29.80,39878,2
24,十日终焉3不息,杀虫队队员,风炫文化,¥31.50,32500,2
25,病隙碎笔（光影纪念版，书内彩插作者亲摄照片12幅）史铁生充满灵...,史铁生,博集天卷,¥45.40,525199,2
26,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,史铁生,未知,¥16.00,1683605,2
27,朝俞（全2册） 限定正面白版护封+背面黑版护封套装 原名伪装学渣...,木瓜黄,力潮文创,¥54.90,40660,2
28,克林索尔的最后夏天（诺贝尔文学奖得主黑塞自传式作品。）【果麦...,赫尔曼・黑塞,果麦文化,¥36.20,179748,2
29,钢铁是怎样炼成的 八年级下 名著阅读课程化丛书 导读版 人民教育...,尼.奥斯特洛夫斯基,周露,¥32.85,233736,2
30,一间只属于自己的房间（文淇同款！热播剧《我的阿勒泰》经典台词...,弗吉尼亚・伍尔夫,果麦文化,¥36.20,143009,2
31,三体全3册套装三体123黑暗森林死神永生： 刘慈欣代表作，亚洲“雨...,刘慈欣,未知,¥81.90,2488352,2
32,真希望全家不生病  医路向前巍子最新力作,医路向前巍子,磨铁文化,¥46.90,49909,2
33,天空之城 宫崎骏原作 官方正版授权,宫崎骏原作,磨铁文化,¥54.00,63035,2
34,我胆小如鼠 新版上市 余华献给被原生家庭伤害过的孩子的自传，看...,余华,读客文化,¥35.80,109350,2
35,十日终焉5万相,杀虫队队员,风炫文化,¥30.40,14482,2
36,十日终焉4乐园,杀虫队队员,风炫文化,¥31.50,27538,2
37,读读童谣和儿歌（共四册）一年级下册 语文教科书配套书目 人教版...,曹文轩,陈先云,¥31.90,720252,2
38,如果历史是一群喵14・明末清初篇,肥志,漫友文化出品,¥26.20,245335,2
39,正面管教修订版,简・尼尔森,未知,¥32.70,2253519,2
40,你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推...,塔拉,新经典,¥34.80,1827735,2
41,【印签版】一句顶一万句（刘震云作品，一本让“中国脱口秀扛把子...,刘震云,长江新世纪,¥62.20,635000,3
42,中国国家博物馆 青少年研学旅游百科 穷游富游不如少年游学,陈晨,未知,¥12.80,16005,3
43,活着（余华代表作，精装，易烊千玺推荐阅读）,余华,新经典,¥33.70,1651146,3
44,中国值得去的100个博物馆 跟着少年游学开眼界 掌握多学科思维,陈晨,未知,¥21.40,32394,3
45,龙猫（宫崎骏代表作首次授权。吉卜力官方授权简体中文版绘本。）,宫崎骏,磨铁文化,¥49.00,123265,3
46,千与千寻（宫崎骏作品。日本上映20周年特别纪念！）,宫崎骏原作,磨铁文化,¥56.20,141859,3
47,女人的胜利 余华现实主义代表作 余华写出轨！太真实太犀利了！荒...,余华,读客文化,¥35.80,79774,3
48,人群太吵，我想去听旷野的风,史铁生,文通天下,¥29.90,21114,3
49,不被大风吹倒 莫言新书！卷也好、躺也好，不被大风吹倒就好！读客...,莫言,读客文化,¥39.80,87380,3
50,哈尔的移动城堡（吉卜力官方授权简体中文版绘本。）,宫崎骏,磨铁文化,¥59.00,37857,3
51,一个人的村庄（精装典藏版 刘亮程作品）感动8000万人，豆瓣万人8...,刘亮程,未知,¥40.80,92407,3
52,小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,未知,¥78.00,484304,3
53,我的情绪小怪兽（3-8岁） 信谊世界精选图画书,安娜・耶纳斯,未知,¥49.80,79067,3
54,崖上的波妞 （吉卜力官方授权简体中文版绘本。）,宫崎骏,赵玉皎,¥56.20,77535,3
55,生死疲劳 不看不知道，莫言真幽默！全新版本！余华推荐！,莫言,读客文化,¥45.40,759831,3
56,这就是人性 人间生存醒脑指南王心傲 谋略书籍 城府攻心的职场社交...,王心傲,未知,¥56.00,23985,3
57,很美很美的猜谜书(升级版)：巴黎彩绘解谜手册！激发孩子数学兴趣...,法布里斯,路易勒,¥53.00,67982,3
58,你愿意，人生就会值得（蔡康永5年沉淀后的温厚之作！）,蔡康永,博集天卷,¥39.80,25187,3
59,三星堆博物馆 青少年研学旅游百科 穷游富游不如少年游学,陈晨,未知,¥12.80,21225,3
60,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,迟子建,未知,¥30.80,1154039,3
61,非暴力沟通【包邮】当当独家经典畅销版 马歇尔・卢森堡著 一部曾...,马歇尔・卢森堡,未知,¥33.80,776778,4
62,猜猜我有多爱你（3-8岁）信谊世界精选图画书,山姆・麦克布雷尼,梅子涵,¥43.80,472180,4
63,杨绛传：永不褪色的优雅（精装版 附赠书签）,吴玲,未知,¥19.50,86764,4
64,人鱼陷落：完结篇 畅销书作者麟潜口碑代表作！,麟潜,博集天卷,¥50.20,22214,4
65,认知觉醒：开启自我改变的原动力,周岭,未知,¥29.90,389185,4
66,你想活出怎样的人生（宫崎骏新作，荣获奥斯卡奖！吉卜力新作官方...,宫崎骏,磨铁文化,¥59.00,24404,4
67,人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人...,宋默,文通天下,¥7.50,576450,4
68,波西和皮普11册超值套装赠同款精美贴纸名字贴(小小聪明豆系列绘本...,阿克塞尔・舍夫勒,未知,¥123.30,547952,4
69,屁屁侦探全新2册精装桥梁书9-10，含“屁屁侦探恋爱了？”+“招财...,Troll,宋三三,¥66.50,23572,4
70,钢铁是怎样炼成的(《语文》推荐阅读丛书)人民文学出版社,尼・奥斯特洛夫斯基,未知,¥34.60,310199,4
71,俗世奇人（修订版）入选中小学生阅读指导目录,冯骥才,未知,¥16.60,620528,4
72,宫崎骏动画绘本【全6册】（天空之城+千与千寻+龙猫+崖上的波妞+哈...,宫崎骏原作,磨铁文化,¥333.80,7228,4
73,人生海海（麦家经典代表作。发行超350万册，创文学新奇迹。人生海...,麦家,新经典,¥69.00,1389967,4
74,抱抱（0-3岁） 信谊世界精选图画书,作绘者,杰兹・阿波罗,¥45.80,205017,4
75,一起长大的玩具 二年级下册 语文教科书配套书目 人教版快乐读书吧...,曹文轩,陈先云,¥12.80,485121,4
76,波西和皮普7册经典套装(小小聪明豆系列绘本)0-4岁低幼启蒙情绪管...,阿克塞尔・舍夫勒,未知,¥65.70,404229,4
77,杀死一只知更鸟（豆瓣9.3，关于勇气与正义的成长教科书，影响全球...,哈珀・李,李育超,¥34.80,1244022,4
78,我的阿勒泰（马伊�P、周依然、于适、蒋奇明主演的同名电视剧）新...,李娟,未知,¥35.50,445530,4
79,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园...,曹文轩,未知,¥21.80,587966,4
80,小英雄雨来 红色经典故事快乐读书吧六年级上册推荐阅读中小学生课...,管桦,未知,¥13.50,291799,4
81,长安的荔枝,马伯庸,博集天卷,¥29.00,587348,5
82,炙热的你：关于了不起的女性更年期的一切,希拉,马心湖,¥71.10,24821,5
83,哪吒三界往事 哪吒之魔童闹海电影原创番外绘本 官方授权电影主创...,可可豆动画,彩条屋影业,¥117.60,55286,5
84,钢铁是怎样炼成的 七年级下 名著阅读课程化丛书 升级版 人民教育...,尼古拉,奥斯特洛夫斯基,¥34.35,3991,5
85,妈妈买绿豆（3-8岁） 信谊幼儿文学奖,曾阳晴,万华国,¥35.80,362454,5
86,人间信（麦家《人生海海》后长篇新作！命运不仅是承受，还要奋力...,麦家,新经典,¥39.00,46179,5
87,草房子（曹文轩正版小说无删减版，7-8-9-10-12岁小学课外阅读推荐...,曹文轩,未知,¥9.90,506542,5
88,米小圈脑筋急转弯（第一辑）（套装共4册）,北猫,未知,¥51.20,772279,5
89,新版・长青藤国际大奖小说书系・第6辑：十二岁的旅程,赖清河,未知,¥23.80,85457,5
90,大力水手 英汉对照版 漫画大师埃尔兹・西格传世之作,西格,未知,¥20.80,11075,5
91,人一生要去的100个地方 少年游学地理百科,日知图书,未知,¥9.90,285298,5
92,中国古代寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,曹文轩,陈先云,¥21.00,359088,5
93,在北大听讲座（1-21辑）,文池,未知,¥423.30,11207,5
94,国之脊梁――中国院士的科学人生百年,中国科学院学部,科学人生・百年,¥39.00,72385,5
95,河清海晏 （  知乎24W高赞、15000+评论热议、200万读者含泪力荐！...,橘子不酸,嘉树文化,¥30.20,84931,5
96,屁屁侦探桥梁书平装11册（第一辑+第二辑+番外+2册新书送游戏册）,Troll,陈涵石,¥174.80,13996,5
97,超级沟通者 与所有人连接的秘密（当当专享附赠卡牌） 查尔斯・都...,查尔斯・都希格,未知,¥46.90,336,5
98,意林成长卷：何以为青春,意林,未知,¥29.80,6314,5
99,世界上最经典的500道思维名题（新版）,达夫,未知,¥40.80,309,5
100,哪吒（从小魔童到大英雄！一本书讲完哪吒的前世今生：比封神更燃...,周楞伽,未知,¥28.00,21880,5
